code,description,level
2653.01.07,"Bailarín, danza clásica y moderna",8
2653.01.08,"Bailarín, solista",8
2653.01.09,"Bailarín, striptease",8
2653.01.10,"Bailarín, zapateado",8
2653.01.11,Bailarina,8
2653.01.12,"Bailarina, cabaret",8
2653.01.13,"Bailarina, calle",8
2653.01.14,"Bailarina, castañuelas",8
2653.01.15,"Bailarina, corista",8
2653.01.16,"Bailarina, night-club",8
2653.01.17,"Bailarina, zapateado",8
2653.01.18,"Bailarina, discoteca",8
2653.01.19,Coreógrafo,8
2653.01.20,Danzante,8
2653.01.21,"Director, coreografía",8
2653.01.22,"Maestro de ballet",8
2653.01.23,Vedette,8
2654,"DIRECTORES DE CINE, DE TEATRO Y AFINES",4
2654.01,"Directores de cine, de teatro y afines",6
2654.01.01,"Director artístico",8
2654.01.02,"Director artístico cine",8
2654.01.03,"Director artístico en la producción de material audiovisual",8
2654.01.04,"Director artístico teatro",8
2654.01.05,"Director artístico televisión",8
2654.01.06,"Director de documentales",8
2654.01.07,"Director de escena en cine o teatro",8
2654.01.08,"Director de espectáculos",8
2654.01.09,"Director de fotografía",8
2654.01.10,"Director de producciones en TV",8
2654.01.11,"Director de programación",8
2654.01.12,"Director técnico de radio televisión",8
2654.01.13,"Director, escena / cine",8
2654.01.14,"Director, escena / teatro",8
2654.01.15,"Director, fotografía / cine",8
2654.01.16,"Director, teatro",8
2654.01.17,"Editor de cine",8
2654.01.18,"Editor de películas",8
2654.01.19,"Empresario, cine",8
2654.01.20,"Productor de teatro",8
2655,ACTORES,4
2655.01,Actores,6
2655.01.01,Actor,8
2655.01.02,"Actor, cine",8
2655.01.03,"Actor, drama",8
2655.01.04,"Actor, teatro",8
2655.01.05,Actriz,8
2655.01.06,"Actriz, cine",8
2655.01.07,"Actriz, teatro",8
2655.01.08,"Artista de cine, televisión y teatro",8
2655.01.09,Cómico,8
2655.01.10,Charlista,8
2655.01.11,Comediante,8
2655.01.12,"Contador de historias",8
2655.01.13,"Doblador de escenas en series de TV y películas",8
2655.01.14,"Doblador de voz en series de TV y películas",8
2655.01.15,"Imitador, cabaret",8
2655.01.16,Mimo,8
2655.01.17,Narrador,8
2655.01.18,"Recitador, excepto radio o televisión",8
2655.01.19,"Recitador, radio o televisión",8
2656,"LOCUTORES DE RADIO, TELEVISIÓN Y OTROS MEDIOS DE COMUNICACIÓN",4
2656.01,"Locutores de radio, televisión y otros medios de comunicación",6
2656.01.01,"Ayudante de locutor",8
2656.01.02,"Anunciador de deportes",8
2656.01.03,"Anfitrión (Dueño de radio y televisión)",8
2656.01.04,"Anfitriona programa de noticias",8
2656.01.05,"Animador de programas de televisión",8
2656.01.06,"Comentarista de radio y televisión",8
2656.01.07,"Comentarista-entrevistador, televisión",8
2656.01.08,"Cronista, noticiarios",8
2656.01.09,"Disc Jockey",8
2656.01.10,"Disc Jockey de radio",8
2656.01.11,"Locutor, noticias",8
2656.01.12,"Locutor, radio",8
2656.01.13,"Locutor, televisión",8
2656.01.14,Presentador-animador,8
2656.01.15,"Presentador-animador, espectáculos públicos",8
2656.01.16,"Presentadora de noticias",8
2656.01.17,"Reportero de tráfico",8
2656.01.18,"Reportero del tiempo",8
2659,"ARTISTAS CREATIVOS E INTERPRETATIVOS NO CLASIFICADOS BAJO OTROS EPÍGRAFES",4
2659.01,"Artistas creativos e interpretativos no clasificados bajo otros epígrafes",6
2659.01.01,Acróbata,8
2659.01.02,"Amaestrador, elefantes",8
2659.01.03,"Amaestrador, fieras",8
2659.01.04,"Artista, marionetas",8
2659.01.05,"Artista, striptease",8
2659.01.06,"Artista, trapecio",8
2659.01.07,"Caballista, circo",8
2659.01.08,Cirquero,8
2659.01.09,"Cómico, circo",8
2659.01.10,Contorsionista,8
2659.01.11,"Domador, circo",8
2659.01.12,"Domador, fieras",8
2659.01.13,"Encantador, serpientes",8
2659.01.14,Equilibrista,8
2659.01.15,Funámbulo,8
2659.01.16,Gallero,8
2659.01.17,"Humorista (Especialista)",8
2659.01.18,Hipnotizador,8
2659.01.19,Ilusionista,8
2659.01.20,Imitador,8
2659.01.21,"Imitador, ruidos de animales",8
2659.01.22,Mago,8
2659.01.23,Malabarista,8
2659.01.24,Payaso,8
2659.01.25,Titiritero,8
2659.01.26,Trapecista,8
2659.01.27,Ventrílocuo,8
2659.01.28,Volatinero,8
3,"TÉCNICOS Y PROFESIONALES DEL NIVEL MEDIO",1
31,"PROFESIONALES DE LAS CIENCIAS Y LA INGENIERIA DE NIVEL MEDIO",2
311,"TÉCNICOS EN CIENCIAS FÍSICAS Y EN INGENIERÍA",3
3111,"TÉCNICOS EN CIENCIAS FÍSICAS Y QUÍMICAS",4
3111.01,"Técnicos en ciencias físicas y químicas",6
3111.01.01,"Asistente, laboratorio física",8
3111.01.02,"Técnico, astronomía",8
3111.01.03,"Técnico, física",8
3111.01.04,"Técnico, geofísica",8
3111.01.05,"Técnico, geología",8
3111.01.06,"Técnico, laboratorio química",8
3111.01.07,"Técnico, mareografista",8
3111.01.08,"Técnico, meteorología",8
3111.01.09,"Técnico, oceanografía",8
3111.01.10,"Técnico, química",8
3112,"TÉCNICOS EN INGENIERÍA CIVIL",4
3112.01,"Técnicos en ingeniería civil",6
3112.01.01,"Aparejador, ingeniería civil",8
3112.01.02,"Asistente de ingeniero civil",8
3112.01.03,"Asistente de ingeniero hidráulico",8
3112.01.04,"Asistente de ingeniero sanitario",8
3112.01.05,"Asistente de laboratorio / industrial",8
3112.01.06,"Estimador, ingeniería civil",8
3112.01.07,"Inspector técnico, ingeniería civil",8
3112.01.08,"Inspector, incendios",8
3112.01.09,"Inspector, obras y edificios",8
3112.01.10,"Secretario de obras públicas",8
3112.01.11,Sobrestante,8
3112.01.12,"Técnico (cálculo de costos de construcción)",8
3112.01.13,"Técnico Cadenero (topografía)",8
3112.01.14,"Técnico de aducción",8
3112.01.15,"Técnico, agrimensor",8
3112.01.16,"Técnico, cartográfico",8
3112.01.17,"Técnico, geotécnica",8
3112.01.18,"Técnico, ingeniería civil",8
3112.01.19,"Técnico, ingeniería civil / conservación de edificios",8
3112.01.20,"Técnico, ingeniería civil / construcción",8
3112.01.21,"Técnico, ingeniería civil / dragado",8
3112.01.22,"Técnico, ingeniería civil / estructuras",8
3112.01.23,"Técnico, ingeniería civil / hidráulica",8
3112.01.24,"Técnico, ingeniería civil / hidrología",8
3112.01.25,"Técnico, ingeniería civil / irrigación",8
3112.01.26,"Técnico, ingeniería civil / mecánica de suelos",8
3112.01.27,"Técnico, ingeniería civil / salud pública",8
3112.01.28,"Técnico, ingeniería civil / sanidad",8
3112.01.29,"Técnico, topografía",8
3113,ELECTROTÉCNICOS,4
3113.01,Electrotécnicos,6
3113.01.01,"Electricista alta tensión",8
3113.01.02,Electrotécnico,8
3113.01.03,"Electrotécnico, alta tensión",8
3113.01.04,"Electrotécnico, energía eléctrica",8
3113.01.05,"Electrotécnico, energía eléctrica / distribución",8
3113.01.06,"Electrotécnico, energía eléctrica / transporte",8
3113.01.07,"Electrotécnico, iluminación",8
3113.01.08,"Electrotécnico, tracción eléctrica",8
3113.01.09,"Estimador, ingeniería eléctrica",8
3113.01.10,"Técnico electricista en general",8
3113.01.11,"Técnico electrónico (aeronáutica)",8
3113.01.12,"Técnico refrigeración",8
3114,"TÉCNICOS EN ELECTRÓNICA",4
3114.01,"Técnicos en electrónica",6
3114.01.01,"Estimador, ingeniería electrónica",8
3114.01.02,"Técnico electronicista",8
3114.01.03,"Técnico electronicista, instrumentos científicos",8
3114.01.04,"Técnico electronicista, material informático",8
3114.01.05,"Técnico, ingeniería aeroespacial",8
3114.01.06,"Técnico, ingeniería electrónica",8
3114.01.07,"Técnico, ingeniería electrónica/electrónica industrial",8
3114.01.08,"Técnico, ingeniería electrónica/mantenimiento, equipo biomédico",8
3115,"TÉCNICOS EN INGENIERÍA MECÁNICA",4
3115.01,"Técnicos en ingeniería mecánica",6
3115.01.01,"Estimador, construcción mecánica",8
3115.01.02,"Estimador, ingeniería mecánica",8
3115.01.03,"Inspector de equipos y materiales (planta de refinación petróleo)",8
3115.01.04,"Jefe de muelle",8
3115.01.05,"Jefe de varadero",8
3115.01.06,"Técnico aeronáutico",8
3115.01.07,"Técnico inspector, naval",8
3115.01.08,"Técnico inspector, naval / buques",8
3115.01.09,"Técnico mecánico",8
3115.01.10,"Técnico mecánico (máquinas y motores)",8
3115.01.11,"Técnico mecánico (petróleo)",8
3115.01.12,"Técnico mecánico, acondicionamiento de aire",8
3115.01.13,"Técnico mecánico, aeronáutica",8
3115.01.14,"Técnico mecánico, agricultura (maquinaria, equipo y herramientas)",8
3115.01.15,"Técnico mecánico, automóviles",8
3115.01.16,"Técnico mecánico, calefacción, refrigeración y ventilación",8
3115.01.17,"Técnico mecánico, construcción naval",8
3115.01.18,"Técnico mecánico, energía nuclear",8
3115.01.19,"Técnico mecánico, ingeniería naval",8
3115.01.20,"Técnico mecánico, instrumentos",8
3115.01.21,"Técnico mecánico, lubricación",8
3115.01.22,"Técnico mecánico, maquinaria y herramientas industriales",8
3115.01.23,"Técnico mecánico, marina",8
3115.01.24,"Técnico mecánico, motores",8
3115.01.25,"Técnico mecánico, motores de combustión interna",8
3115.01.26,"Técnico mecánico, motores de locomotoras",8
3115.01.27,"Técnico mecánico, motores de propulsión a chorro",8
3115.01.28,"Técnico mecánico, motores diesel",8
3115.01.29,"Técnico mecánico, turbinas de gas",8
3115.01.30,"Técnico, acondicionamiento de aire",8
3115.01.31,"Técnico, alineación y balanceo",8
3115.01.32,"Técnico, ingeniería aeronáutica",8
3115.01.33,"Técnico, ingeniería marina",8
3115.01.34,"Técnico, ingeniería mecánica",8
3115.01.35,"Técnico, ingeniería mecánica/mantenimiento industrial",8
3115.01.36,"Técnico, ingeniería mecánica/refrigeración y aire acondicionado",8
3115.01.37,"Verificador naval",8
3116,"TÉCNICOS EN QUÍMICA INDUSTRIAL",4
3116.01,"Técnicos en química industrial",6
3116.01.01,"Ayudante laboratorio industrial",8
3116.01.02,"Comprobador de densidad de aguas salinas",8
3116.01.03,"Estimador, ingeniería química",8
3116.01.04,"Estimador, química industrial",8
3116.01.05,"Jefe de laboratorio de sedimentación",8
3116.01.06,"Laboratorista de aguas",8
3116.01.07,"Laboratorista de petróleo y derivados",8
3116.01.08,"Laboratorista de productos alimenticios",8
3116.01.09,"Laboratorista de productos lácteos",8
3116.01.10,"Laboratorista de vidrios",8
3116.01.11,"Laboratorista químico de pinturas",8
3116.01.12,"Técnico de combustible",8
3116.01.13,"Técnico de control de calidad / petróleo",8
3116.01.14,"Técnico en la preparación de plásticos y cauchos",8
3116.01.15,"Técnico, ingeniería / petróleo",8
3116.01.16,"Técnico, ingeniería / química",8
3116.01.17,"Técnico, petroquímica",8
3116.01.18,"Técnico, química industrial",8
3116.01.19,"Técnico, química industrial / gas",8
3116.01.20,"Técnico, química industrial / petróleo",8
3116.01.21,"Técnico, química industrial / procesos químicos",8
3116.01.22,"Técnico, química industrial / producción y distribución de gas",8
3116.01.23,"Técnico, química industrial / refinación del petróleo",8
3117,"TÉCNICOS EN INGENIERÍA DE MINAS Y METALURGIA",4
3117.01,"Técnicos en ingeniería de minas y metalurgia",6
3117.01.01,"Acidificador, pozos de petróleo y gas",8
3117.01.02,"Auxiliar técnico de cantera",8
3117.01.03,"Desincrustador, pozos de petróleo y gas",8
3117.01.04,"Inspector de minas",8
3117.01.05,"Inspector de seguridad en las minas",8
3117.01.06,"Pegador, pozos de petróleo y gas",8
3117.01.07,"Técnico en fluidos de perforación",8
3117.01.08,"Técnico metalúrgico (tratamiento de metales)",8
3117.01.09,"Técnico, acidificación / pozos",8
3117.01.10,"Técnico, explotador / minas",8
3117.01.11,"Técnico, extracción / carbón",8
3117.01.12,"Técnico, extracción / diamantes",8
3117.01.13,"Técnico, extracción / metales",8
3117.01.14,"Técnico, extracción / petróleo y gas natural",8
3117.01.15,"Técnico, extracción/ (sondeo de pozos)",8
3117.01.16,"Técnico, ingeniería / minas",8
3117.01.17,"Técnico, metalurgia",8
3117.01.18,"Técnico, metalurgia / ensayador de metales",8
3117.01.19,"Técnico, metalurgia / extracción",8
3117.01.20,"Técnico, metalurgia / física",8
3117.01.21,"Técnico, metalurgia / fundición",8
3117.01.22,"Técnico, metalurgia / minerales radiactivos",8
3117.01.23,"Técnico, metalurgia / producción y refinación de metales",8
3117.01.24,"Técnico, minería",8
3117.01.25,"Técnico, perforación / pozos",8
3117.01.26,"Técnico, sondeo / pozos de petróleo y gas",8
3118,"DELINEANTES Y DIBUJANTES TÉCNICOS",4
3118.01,"Delineantes y dibujantes técnicos",6
3118.01.01,"Asistente de arquitectura",8
3118.01.02,"Constructor de maquetas",8
3118.01.03,Delineante,8
3118.01.04,"Delineante, arquitectura",8
3118.01.05,"Delineante, cartografía",8
3118.01.06,"Delineante, geología",8
3118.01.07,"Delineante, ilustraciones técnicas",8
3118.01.08,"Delineante, industrial",8
3118.01.09,"Delineante, ingeniería aeronáutica",8
3118.01.10,"Delineante, ingeniería civil",8
3118.01.11,"Delineante, ingeniería de edificios",8
3118.01.12,"Delineante, ingeniería de sistemas de calefacción y ventilación",8
3118.01.13,"Delineante, ingeniería eléctrica",8
3118.01.14,"Delineante, ingeniería electrónica",8
3118.01.15,"Delineante, ingeniería mecánica",8
3118.01.16,"Delineante, ingeniería naval",8
3118.01.17,"Delineante, litografía",8
3118.01.18,"Delineante, matrices y herramientas",8
3118.01.19,"Delineante, técnico",8
3118.01.20,"Delineante, tinturas",8
3118.01.21,"Delineante, topografía",8
3118.01.22,"Diagramador de periódicos, revistas y textos escolares",8
3118.01.23,"Dibujante armazones metálicos, madera y máquinas en general",8
3118.01.24,"Dibujante arquitectónico y/o de proyectos",8
3118.01.25,"Dibujante cartografía",8
3118.01.26,"Dibujante electricidad",8
3118.01.27,"Dibujante en general",8
3118.01.28,"Dibujante litografía",8
3118.01.29,"Dibujante, electrónica",8
3118.01.30,"Dibujante, ilustraciones técnicas",8
3118.01.31,"Dibujante, ingeniería civil",8
3118.01.32,"Dibujante, matrices y herramientas",8
3118.01.33,"Dibujante, mecánica",8
3118.01.34,"Dibujante, naval",8
3118.01.35,"Dibujante, proyectista / artes gráficas",8
3118.01.36,"Dibujante, sistema de información geográfica",8
3118.01.37,"Dibujante, sistemas de calefacción y ventilación",8
3118.01.38,"Dibujante, técnico",8
3118.01.39,"Dibujante, topografía",8
3118.01.40,"Jefe, dibujantes",8
3118.01.41,"Técnico de dibujo / ingeniería",8
3118.01.42,"Técnico de dibujo / planos y gráficos",8
3118.01.43,"Técnico de dibujo técnico",8
3118.01.44,"Técnico en diseño gráfico",8
3119,"TÉCNICOS EN CIENCIAS FÍSICAS Y EN INGENIERÍA NO CLASIFICADOS BAJO OTROS EPÍGRAFES",4
3119.01,"Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes",6
3119.01.01,"Ayudante de técnico ceramista",8
3119.01.02,"Especialista, prevención de incendios",8
3119.01.03,"Investigador, incendios",8
3119.01.04,"Laboratorista cemento",8
3119.01.05,"Técnico ceramista",8
3119.01.06,"Técnico de la ciencia forense",8
3119.01.07,"Técnico en curtiduría",8
3119.01.08,"Técnico textil",8
3119.01.09,"Técnico, cálculo de costos y cantidades",8
3119.01.10,"Técnico, cemento",8
3119.01.11,"Técnico, eficiencia industrial",8
3119.01.12,"Técnico, estudio del trabajo",8
3119.01.13,"Técnico, ingeniería / biomédica",8
3119.01.14,"Técnico, ingeniería / confección",8
3119.01.15,"Técnico, ingeniería / estudio de tiempos y movimientos",8
3119.01.16,"Técnico, ingeniería / industrial",8
3119.01.17,"Técnico, ingeniería / métodos",8
3119.01.18,"Técnico, ingeniería / organización industrial",8
3119.01.19,"Técnico, ingeniería / planificación",8
3119.01.20,"Técnico, ingeniería / producción",8
3119.01.21,"Técnico, ingeniería / seguridad",8
3119.01.22,"Técnico, ingeniería automotriz",8
3119.01.23,"Técnico, prevención de incendios",8
3119.01.24,"Técnico, robots",8
3119.01.25,"Técnico, sistemas / excepto informáticos",8
3119.01.26,"Verificador, robots",8
312,"SUPERVISORES EN INGENIERÍA DE MINAS, DE INDUSTRIAS MANUFACTURERAS Y DE LA CONSTRUCCIÓN",3
3121,"SUPERVISORES EN INGENIERÍA DE MINAS",4
3121.01,"Supervisores en ingeniería de minas",6
3121.01.01,"Subadministrador de minas",8
3121.01.02,"Supervisor de la cantera",8
3121.01.03,"Supervisor mantenimiento en minas",8
3121.01.04,"Supervisor maquinaria minera",8
3121.01.05,"Supervisor de minas",8
3122,"SUPERVISORES DE INDUSTRIAS MANUFACTURERAS",4
3122.01,"Supervisores de industrias manufactureras",6
3122.01.01,"Coordinador de industria manufacturera",8
3122.01.02,"Supervisor de acabado",8
3122.01.03,"Supervisor de calidad",8
3122.01.04,"Supervisor de digitación",8
3122.01.05,"Supervisor de industria manufacturera",8
3122.01.06,"Supervisor de producción",8
3122.01.07,"Supervisor de producción de artículos de madera",8
3122.01.08,"Supervisor de producción de calzado",8
3122.01.09,"Supervisor de producción de cerámica",8
3122.01.10,"Supervisor de producción de confección de prendas de vestir",8
3122.01.11,"Supervisor de producción de la industria del tabaco",8
3122.01.12,"Supervisor de trabajadores de canteras",8
3122.01.13,"Supervisor de trabajadores de fabricación de accesorios fotográficos",8
3122.01.14,"Supervisor de trabajadores de fabricación de cerámica",8
3122.01.15,"Supervisor de trabajadores de fabricación de cosméticos",8
3122.01.16,"Supervisor de trabajadores de fabricación de productos de caucho",8
3122.01.17,"Supervisor de trabajadores de fabricación de productos de papel",8
3122.01.18,"Supervisor de trabajadores de fabricación de productos eléctricos y electrónicos",8
3122.01.19,"Supervisor de trabajadores de fabricación de productos farmacéuticos",8
3122.01.20,"Supervisor de trabajadores de fabricación de productos plásticos",8
3122.01.21,"Supervisor de trabajadores de fabricación de vidrio",8
3122.01.22,"Supervisor de trabajadores de producción de energía",8
3122.01.23,"Supervisor de trabajadores de tratamiento de aguas",8
3123,"SUPERVISORES DE LA CONSTRUCCIÓN",4
3123.01,"Supervisores de la construcción",6
3123.01.01,"Administrador de construcción",8
3123.01.02,"Auxiliar de superintendente de constructora",8
3123.01.03,"Supervisor de colado de materiales de construcción",8
3123.01.04,"Supervisor de construcción de carretera",8
3123.01.05,"Supervisor de construcción de edificios",8
3123.01.06,"Supervisor de obras",8
3123.01.07,"Supervisor de obras de construcción",8
313,"TÉCNICOS EN CONTROL DE PROCESOS",3
3131,"OPERADORES DE INSTALACIONES DE PRODUCCIÓN DE ENERGÍA",4
3131.01,"Operadores de instalaciones de producción de energía",6
3131.01.01,"Ayudante operador de instalaciones de central hidroeléctrica",8
3131.01.02,"Operador de cuadro de control de generadores",8
3131.01.03,"Operador, cuadro de distribución / central eléctrica",8
3131.01.04,"Operador de instalaciones, central de producción de energía eléctrica",8
3131.01.05,"Operador de instalaciones, central eólica / producción de energía eléctrica",8
3131.01.06,"Operador de instalaciones, central geotérmica / producción de energía eléctrica",8
3131.01.07,"Operador de instalaciones, central hidroeléctrica / producción de energía eléctrica",8
3131.01.08,"Operador de instalaciones, central mareomotriz / producción de energía eléctrica",8
3131.01.09,"Operador de instalaciones, central nuclear / producción de energía eléctrica",8
3131.01.10,"Operador de instalaciones, central solar / producción de energía eléctrica",8
3131.01.11,"Operador de instalaciones, central térmica / gas natural (producción de energía eléctrica)",8
3131.01.12,"Operador de instalaciones, central termoeléctrica",8
3131.01.13,"Operador de máquinas fijas de producción eléctrica",8
3131.01.14,"Operador de motores fijos",8
3131.01.15,"Operador de planta energía eléctrica",8
3131.01.16,"Operador de reactor nuclear, producción de energía eléctrica",8
3131.01.17,"Operador de turbinas, producción de energía eléctrica",8
3131.01.18,"Operador del sistema de alimentación",8
3131.01.19,"Operador-rectificador de corriente eléctrica",8
3132,"OPERADORES DE INCINERADORES, INSTALACIONES DE TRATAMIENTO DE AGUA Y AFINES",4
3132.01,"Operadores de incineradores, instalaciones de tratamiento de agua y afines",6
3132.01.01,"Ayudante Operador de máquina, producción / hielo",8
3132.01.02,"Operador de planta, aguas residuales",8
3132.01.03,"Operador de incinerador, eliminación de residuos",8
3132.01.04,"Operador de instalaciones, abastecimiento de agua",8
3132.01.05,"Operador de instalaciones, calefacción",8
3132.01.06,"Operador de instalaciones, depuración de agua",8
3132.01.07,"Operador de instalaciones, estación de bombeo / agua",8
3132.01.08,"Operador de instalaciones, filtraciones de agua",8
3132.01.09,"Operador de instalaciones, incineración / residuos",8
3132.01.10,"Operador de instalaciones, refrigeración",8
3132.01.11,"Operador de instalaciones, tratamiento de aguas servidas",8
3132.01.12,"Operador de instalaciones, ventilación",8
3132.01.13,"Operador de máquina, producción / hielo",8
3132.01.14,"Operador en la fabricación de hielo",8
3132.01.15,"Operador, canal de desenlodamiento",8
3132.01.16,"Operador, compresor de aire",8
3132.01.17,"Operador, compresor de gas",8
3132.01.18,"Operador, congelador",8
3132.01.19,"Operador, estación de bombeo / excepto petróleo y gas natural",8
3132.01.20,"Operador, estanque de decantación",8
3132.01.21,"Operador, válvulas de desagüe / embalses",8
3133,"CONTROLADORES DE INSTALACIONES DE PROCESAMIENTO DE PRODUCTOS QUÍMICOS",4
3133.01,"Controladores de instalaciones de procesamiento de productos químicos",6
3133.01.01,"Controlador de instalaciones de procesamiento de productos químicos",8
3133.01.02,"Operador de planta química - tratamiento térmico",8
3133.01.03,"Operador de equipos de separación y productos químicos de filtrado",8
3133.01.04,"Operador reactor químico",8
3133.01.05,"Técnico proceso químico",8
3134,"OPERADORES DE INSTALACIONES DE REFINACIÓN DE PETRÓLEO Y GAS NATURAL",4
3134.01,"Operadores de instalaciones de refinación de petróleo y gas natural",6
3134.01.01,"Llenador con gas carbónico líquido",8
3134.01.02,"Llenador de tanques de gas licuado de petróleo",8
3134.01.03,"Llenador de tanques de oxígeno",8
3134.01.04,"Medidor de tanques de producción de hidrocarburos",8
3134.01.05,"Operador de compresor de gas",8
3134.01.06,"Operador de compresora de procesamiento de gas",8
3134.01.07,"Operador de destilería, refinación / petróleo y gas natural",8
3134.01.08,"Operador de escape de gas de carbón",8
3134.01.09,"Operador de gascón y merox (para la obtención y purificación del gas licuado y gasolina)",8
3134.01.10,"Operador de horno de refinación de petróleo",8
3134.01.11,"Operador de instalaciones, de sulfuramiento / petróleo y gas natural",8
3134.01.12,"Operador de instalaciones, separación de la parafina / refinación de petróleo y gas natural",8
3134.01.13,"Operador de inyectora de tetra-etilo de plomo, gas butano y colorante (a las gasolinas para obtener mayor octanaje)",8
3134.01.14,"Operador de la planta de gas licuado y/o regasificado",8
3134.01.15,"Operador de máquina endulzadora de gas",8
3134.01.16,"Operador de planta de fraccionamiento de petróleo",8
3134.01.17,"Operador de planta de gas",8
3134.01.18,"Operador de planta de parafina",8
3134.01.19,"Operador de planta de hidrógeno",8
3134.01.20,"Operador de planta de licuado",8
3134.01.21,"Operador de planta de reformación (petróleo) (se extrae la gasolina de avión a partir del kerosén)",8
3134.01.22,"Operador de planta petrolera",8
3134.01.23,"Operador de proceso de petróleo",8
3134.01.24,"Operador de refinería de petróleo",8
3134.01.25,"Operador de tuberías de gas",8
3134.01.26,"Operador, cuadro de control / refinación (petróleo y gas natural)",8
3134.01.27,"Operador, estación de bombeo / refinación (petróleo y gas natural)",8
3134.01.28,"Operador, máquina de bombeo / petróleo y gas natural",8
3134.01.29,"Operador, tanques mezcladores / refinación de petróleo y gas natural (etilo)",8
3134.01.30,"Técnico en el proceso de refinería",8
3135,"CONTROLADORES DE PROCESOS DE PRODUCCIÓN DE METALES",4
3135.01,"Controladores de procesos de producción de metales",6
3135.01.01,"Controlador de central de rueda",8
3135.01.02,"Operador de control de tratamiento de metal",8
3135.01.03,"Operador de control de trenes de laminación",8
3135.01.04,"Operador de horno de explosión",8
3139,"TÉCNICOS EN CONTROL DE PROCESOS NO CLASIFICADOS BAJO OTROS EPÍGRAFES",4
3139.01,"Técnicos en control de procesos no clasificados bajo otros epígrafes",6
3139.01.01,"Controlador de robot industrial",8
3139.01.02,"Operador de línea de montaje automatizado",8
3139.01.03,"Operador de refinería de pasta de papel",8
314,"TÉCNICOS Y PROFESIONALES DE NIVEL MEDIO EN CIENCIAS BIOLÓGICAS Y AFINES",3
3141,"TÉCNICOS EN CIENCIAS BIOLÓGICAS (EXCLUYENDO LA MEDICINA)",4
3141.01,"Técnicos en ciencias biológicas (excluyendo la medicina)",6
3141.01.01,"Asistente de microbiólogo",8
3141.01.02,Disecador-taxidermista,8
3141.01.03,"Jefe Técnico, ciencias biológicas",8
3141.01.04,"Técnico de ciencias biológicas",8
3141.01.05,"Técnico de investigaciones biológicas",8
3141.01.06,"Técnico, anatomía",8
3141.01.07,"Técnico, biofísica",8
3141.01.08,"Técnico, bioquímica",8
3141.01.09,"Técnico, botánica",8
3141.01.10,"Técnico, cultivo de tejido",8
3141.01.11,"Técnico, ecología",8
3141.01.12,"Técnico, fisiología",8
3141.01.13,"Técnico, genética",8
3141.01.14,"Técnico, hematología",8
3141.01.15,"Técnico, herbario",8
3141.01.16,"Técnico, histología",8
3141.01.17,"Técnico, piscicultura",8
3141.01.18,"Técnico, serología",8
3141.01.19,"Técnico, tejidos",8
3141.01.20,"Técnico, zoología",8
3141.01.21,"Técnico, zootécnico",8
3141.01.22,"Tecnólogo de histología",8
3141.01.23,"Tecnólogo médico",8
3142,"TÉCNICOS AGROPECUARIOS",4
3142.01,"Técnicos agropecuarios",6
3142.01.01,"Asesor técnico agropecuario",8
3142.01.02,"Auxiliar técnico de campo",8
3142.01.03,"Extensionista agrícola",8
3142.01.04,"Extensionista agropecuario forestal",8
3142.01.05,"Laboratorista de granos y harinas",8
3142.01.06,"Laboratorista de suelos",8
3142.01.07,"Perito agrícola",8
3142.01.08,"Capador de rebaño",8
3142.01.09,"Promotor agrario",8
3142.01.10,"Técnico agrónomo",8
3142.01.11,"Técnico agrónomo, suelos",8
3142.01.12,"Técnico agropecuario",8
3142.01.13,"Técnico de productos lácteos",8
3142.01.14,"Técnico en acuicultura",8
3142.01.15,"Técnico en agricultura intensiva",8
3142.01.16,"Técnico en agricultura ornamental",8
3142.01.17,"Técnico en apicultura",8
3142.01.18,"Técnico en avicultura",8
3142.01.19,"Técnico en café (Caficultor)",8
3142.01.20,"Técnico en cultivos de campo",8
3142.01.21,"Técnico en fumigaciones y desinfección",8
3142.01.22,"Técnico en riego",8
3142.01.23,"Técnico especialista en agricultura",8
3142.01.24,"Técnico evaluador agrícola",8
3142.01.25,"Técnico fertilizador",8
3142.01.26,"Técnico fruticultor",8
3142.01.27,"Técnico, horticultura",8
3142.01.28,"Técnico, investigaciones / cosechas",8
3142.01.29,"Técnico, oleicultura",8
3142.01.30,"Técnico, pomología",8
3143,"TÉCNICOS FORESTALES",4
3143.01,"Técnicos forestales",6
3143.01.01,"Técnico agroforestal",8
3143.01.02,"Técnico, arboricultura",8
3143.01.03,"Técnico, floricultura",8
3143.01.04,"Técnico, forestal (perito)",8
3143.01.05,"Técnico, maderero",8
3143.01.06,"Técnico, silvicultura",8
3143.01.07,"Tecnólogo en plantaciones forestales",8
315,"TÉCNICOS Y CONTROLADORES EN NAVEGACIÓN MARÍTIMA Y AERONÁUTICA",3
3151,"OFICIALES MAQUINISTAS EN NAVEGACIÓN",4
3151.01,"Oficiales maquinistas en navegación",6
3151.01.01,"Cuarto oficial, maquinista / barco",8
3151.01.02,"Ingeniero de buques",8
3151.01.03,"Inspector técnico, marina / mercante",8
3151.01.04,"Jefe de máquinas, barco",8
3151.01.05,"Jefe de máquinas, buque",8
3151.01.06,"Oficial maquina, remolcador",8
3151.01.07,"Oficial maquinista, barco",8
3151.01.08,"Oficial maquinista, navegación",8
3151.01.09,"Oficial, navegación",8
3151.01.10,"Primer oficial, maquinista/ barco",8
