code,description,level
1112.01.17,"Director de prevención de la corrupción, transparencia y rendición de cuentas",8
1112.01.18,"Director del Instituto Ecuatoriano de Normalización (INEN)",8
1112.01.19,"Director Ejecutivo del Consejo Nacional de Discapacitados",8
1112.01.20,"Director Ejecutivo de la Agencia Ecuatoriana de Aseguramiento de Calidad del Agro",8
1112.01.21,"Director Ejecutivo de Servicios de Sanidad Agropecuaria",8
1112.01.22,"Director Ejecutivo del Instituto Ecuatoriano de Crédito Educativo y Becas (IECE)",8
1112.01.23,"Director Ejecutivo, Administración Pública",8
1112.01.24,"Director General de Derechos Humanos y Asuntos Sociales",8
1112.01.25,"Director General del Instituto Nacional de Estadística y Censos (INEC)",8
1112.01.26,"Director General del Servicio de Rentas Internas (SRI)",8
1112.01.27,"Director General, administración penitenciaria",8
1112.01.28,"Director General, administración pública",8
1112.01.29,"Director General, administración pública / ministerio",8
1112.01.30,"Director General, cancillería",8
1112.01.31,"Director General, organización intergubernamental",8
1112.01.32,"Director Nacional de Hidrocarburos",8
1112.01.33,"Director Nacional de Servicios Educativos (DINSE)",8
1112.01.34,"Director técnico de la unidad transitoria de gestión defensoría pública penal",8
1112.01.35,"Director, administración pública / municipal",8
1112.01.36,"Director, administración pública / provincial",8
1112.01.37,"Director, administración pública / regional",8
1112.01.38,"Directora Ejecutiva del Consejo Nacional de la Mujer (CONAMU)",8
1112.01.39,"Encargado de negocios, embajada",8
1112.01.40,"Fiscal General de la Nación",8
1112.01.41,"Inspector general, policía nacional",8
1112.01.42,"Intendente de policía",8
1112.01.43,"Interventor de cuentas, administración pública",8
1112.01.44,"Interventor general (Compañías)",8
1112.01.45,"Jefe de departamento, administración pública",8
1112.01.46,"Ministro plenipotenciario",8
1112.01.47,"Pagador General, administración pública",8
1112.01.48,"Presidente de la Asociación Nacional de Municipalidades (AME)",8
1112.01.49,"Presidente de la Comisión de Control Cívico de la Corrupción",8
1112.01.50,"Presidente del Consejo Directivo del Instituto Ecuatoriano de Seguridad Social (lESS)",8
1112.01.51,"Presidente del Consejo Nacional de Telecomunicaciones",8
1112.01.52,"Presidente del Consejo Nacional Electoral",8
1112.01.53,"Presidente del Directorio del Banco Central",8
1112.01.54,"Presidente del Tribunal Constitucional",8
1112.01.55,"Presidente Petroecuador",8
1112.01.56,"Presidente Tribunal Contencioso Electoral",8
1112.01.57,"Presidente de la Autoridad Portuaria del Ecuador",8
1112.01.58,"Procurador General del Estado",8
1112.01.59,"Secretaría Nacional de Transparencia de Gestión",8
1112.01.60,"Secretario de embajada",8
1112.01.61,"Secretario General adjunto, administración pública",8
1112.01.62,"Secretario General de ciencias y tecnología",8
1112.01.63,"Secretario General de Comunicación",8
1112.01.64,"Secretario General de la Presidencia",8
1112.01.65,"Secretario General de Planificación y Desarrollo (SENPLADES)",8
1112.01.66,"Secretario General, administración pública",8
1112.01.67,"Secretario Nacional Anticorrupción",8
1112.01.68,"Secretario Nacional de Agua",8
1112.01.69,"Secretario Nacional de Gestión de Riesgos",8
1112.01.70,"Secretario Nacional del Migrante (SENAMI)",8
1112.01.71,"Subdirector general, administración pública",8
1112.01.72,"Subdirector técnico, administración pública",8
1112.01.73,"Subsecretario de Coordinación Política",8
1112.01.74,"Subsecretario de Desarrollo Organizacional",8
1112.01.75,"Subsecretario de Desarrollo Social",8
1112.01.76,"Subsecretario de Fortalecimiento Institucional",8
1112.01.77,"Subsecretario de Recursos Pesqueros",8
1112.01.78,"Subsecretario Técnico de Transparencia de Gestión",8
1112.01.79,"Subsecretario, Administración Pública",8
1112.01.80,"Subsecretarios Regionales, representantes en el exterior",8
1112.01.81,"Superintendente de Bancos y Seguros",8
1112.01.82,"Superintendente de Compañías",8
1112.01.83,"Superintendente de Telecomunicaciones",8
1112.01.84,"Vicepresidente del Consejo de Participación Ciudadana y Control Social",8
1112.01.85,"Vicepresidente del Consejo Nacional Electoral",8
1112.01.86,"Comisionado, Administración Pública",8
1112.01.87,"Comisionado, de Bomberos",8
1113,"JEFES DE PEQUEÑAS POBLACIONES",4
1113.01,"Jefes de pequeñas poblaciones",6
1113.01.01,"Jefe cantonal y parroquial (jefe de pueblo)",8
1113.01.02,"Jefe Político",8
1113.01.03,"Jefe tradicional, pequeña población (grupos étnicos, ejemplo: jefe de los shuaras)",8
1113.01.04,"Otros jefes de pequeñas poblaciones",8
1113.01.05,"Teniente Político",8
1114,"DIRIGENTES DE ORGANIZACIONES QUE PRESENTAN UN INTERÉS ESPECIAL",4
1114.01,"Dirigentes de organizaciones que presentan un interés especial",6
1114.01.01,"Director junta de beneficencia de Guayaquil",8
1114.01.02,"Dirigente, organización de empleadores",8
1114.01.03,"Dirigente, organización socio económica especializada",8
1114.01.04,"Dirigente, partido político",8
1114.01.05,"Dirigente, sindicato de trabajadores",8
1114.01.06,"Miembro, directiva partido político",8
1114.01.07,"Otros dirigentes y administradores de organizaciones humanitarias y de otras organizaciones especializadas",8
1114.01.08,"Otros dirigentes, partido político",8
1114.01.09,"Presidente cámara de comercio de Quito",8
1114.01.10,"Presidente cámara de comercio ecuatoriano americana",8
1114.01.11,"Presidente cámara de industria",8
1114.01.12,"Presidente cámara de industrias y producción",8
1114.01.13,"Presidente cámara de la construcción",8
1114.01.14,"Presidente cámara de la construcción de Quito",8
1114.01.15,"Presidente cámara de la industria automotriz ecuatoriana",8
1114.01.16,"Presidente cámara de la pequeña industria de pichincha, (CAPEIPI)",8
1114.01.17,"Presidente cámara de minería del Ecuador",8
1114.01.18,"Presidente cámara de turismo de Pichincha (CAPTUR)",8
1114.01.19,"Presidente cámara nacional de acuacultura",8
1114.01.20,"Presidente cámara nacional de microempresas del Ecuador",8
1114.01.21,"Presidente cámara nacional de Pesquería",8
1114.01.22,"Presidente cámara Provincial de Turismo",8
1114.01.23,"Presidente Confederación de nacionalidades Indígenas del Ecuador (CONAIE)",8
1114.01.24,"Presidente del Consejo de desarrollo del Pueblo Montubio de la Costa Ecuatoriana y Zonas Subtropicales de la Región Litoral",8
1114.01.25,"Presidente Unión Nacional de Periodistas (UNP)",8
1114.01.26,"Presidente, organización de empleadores",8
1114.01.27,"Presidente, partido político",8
1114.01.28,"Presidente, sindicatos",8
1114.01.29,"Secretario de finanzas de partido político",8
1114.01.30,"Secretario de Pueblos, Movimientos Sociales y Participación Ciudadana",8
1114.01.31,"Secretario general de sindicatos de chóferes profesionales",8
1114.01.32,"Secretario general, Cruz Roja",8
1114.01.33,"Secretario general, organización de derechos humanos",8
1114.01.34,"Secretario general, organización de empleadores",8
1114.01.35,"Secretario general, organización de protección de la fauna",8
1114.01.36,"Secretario general, organización de protección de la naturaleza",8
1114.01.37,"Secretario general, organización de protección del medio ambiente",8
1114.01.38,"Secretario general, organización ecologista",8
1114.01.39,"Secretario general, organización humanitaria",8
1114.01.40,"Secretario general, organización socioeconómica especializada",8
1114.01.41,"Secretario general, partido político",8
1114.01.42,"Secretario general, sindicato de trabajadores",8
1114.01.43,"Secretario Nacional Ejecutivo del Consejo de Desarrollo de las Nacionalidades y Pueblos del Ecuador (CODENPE)",8
1114.01.44,"Líder, partido político",8
1115,"MIEMBROS DEL PODER EJECUTIVO Y DE LOS GOBIERNOS LOCALES O SECCIONALES",4
1115.01,"Miembros del Poder Ejecutivo",6
1115.01.01,"Presidente de la República",8
1115.01.02,"Vicepresidente de la República",8
1115.01.03,Embajador,8
1115.01.04,Canciller,8
1115.01.05,"Ministros / secretarios de estado",8
1115.01.06,"Gobernador provincial",8
1115.01.07,"Subsecretarios de estado",8
1115.02,"Gobierno Locales o Seccionales",6
1115.02.01,Alcalde,8
1115.02.02,"Concejales, municipales",8
1115.02.03,"Concejales, urbanos",8
1115.02.04,"Concejales, rurales",8
1115.02.05,"Prefectos provinciales",8
1115.02.06,"Presidente de Concejo Municipal",8
1115.02.07,"Vicepresidentes de concejos municipales",8
1115.02.08,"Vice prefectos provinciales",8
1116,"MIEMBROS DEL PODER JUDICIAL",4
1116.01,"Miembros del Poder Judicial",6
1116.01.01,"Presidente de la Corte Nacional de Justicia",8
1116.01.02,"Vicepresidente de la Corte Nacional de Justicia",8
1116.01.03,"Magistrados de las Cortes Nacionales de Justicia",8
1116.01.04,"Presidente del Consejo Nacional de Judicatura",8
112,"DIRECTORES GENERALES Y GERENTE GENERALES",3
1120,"DIRECTORES GENERALES Y GERENTES GENERALES",4
1120.01,"Directores generales y gerente generales de Empresas",6
1120.01.01,"Director general, empresa",8
1120.01.02,"Director general, empresa / actividades culturales (10 empleados y más)",8
1120.01.03,"Director general, empresa / actividades deportivas (10 empleados y más)",8
1120.01.04,"Director general, empresa / actividades recreativas (10 empleados y más)",8
1120.01.05,"Director general, empresa / agencia de viajes (10 empleados y más)",8
1120.01.06,"Director general, empresa / agricultura (10 empleados y más)",8
1120.01.07,"Director general, empresa / almacenamiento (10 empleados y más)",8
1120.01.08,"Director general, empresa / caza (10 empleados y más)",8
1120.01.09,"Director general, empresa / comercio mayorista (10 empleados y más)",8
1120.01.10,"Director general, empresa / comercio minorista (10 empleados y más)",8
1120.01.11,"Director general, empresa / comunicaciones (10 empleados y más)",8
1120.01.12,"Director general, empresa / construcción y obras públicas (10 empleados y más)",8
1120.01.13,"Director general, empresa / cuidados personales (10 empleados y más)",8
1120.01.14,"Director general, empresa / enseñanza (10 empleados y más)",8
1120.01.15,"Director general, empresa / explotación forestal (10 empleados y más)",8
1120.01.16,"Director general, empresa / hostelería (10 empleados y más)",8
1120.01.17,"Director general, empresa / industrias manufactureras (10 empleados y más)",8
1120.01.18,"Director general, empresa / intermediación financiera (10 empleados y más)",8
1120.01.19,"Director general, empresa / limpieza (10 empleados y más)",8
1120.01.20,"Director general, empresa / pesca (10 empleados y más)",8
1120.01.21,"Director general, empresa / restaurantes (10 empleados y más)",8
1120.01.22,"Director general, empresa / servicios a las empresas (10 empleados y más)",8
1120.01.23,"Director general, empresa / servicios de sanidad (10 empleados y más)",8
1120.01.24,"Director general, empresa / silvicultura (10 empleados y más)",8
1120.01.25,"Director general, empresa / trabajo social (10 empleados y más)",8
1120.01.26,"Director general, empresa / transporte (10 empleados y más)",8
1120.01.27,"Gerente general, empresa / actividades culturales (10 empleados y más)",8
1120.01.28,"Gerente general, empresa / actividades deportivas (10 empleados y más)",8
1120.01.29,"Gerente general, empresa / actividades recreativas (10 empleados y más)",8
1120.01.30,"Gerente general, empresa / agencia de viajes (10 empleados y más)",8
1120.01.31,"Gerente general, empresa / agricultura (10 empleados y más)",8
1120.01.32,"Gerente general, empresa / almacenamiento (10 empleados y más)",8
1120.01.33,"Gerente general, empresa / caza (10 empleados y más)",8
1120.01.34,"Gerente general, empresa / comercio mayorista (10 empleados y más)",8
1120.01.35,"Gerente general, empresa / comercio minorista (10 empleados y más)",8
1120.01.36,"Gerente general, empresa / comunicaciones (10 empleados y más)",8
1120.01.37,"Gerente general, empresa / construcción y obras públicas (10 empleados y más)",8
1120.01.38,"Gerente general, empresa / cuidados personales (10 empleados y más)",8
