"CONSECUTIVO","LETRA","CATALOG_KEY","NO. CARACTERES","NOMBRE","CODIGOX","LSEX","LINF","LSUP","TRIVIAL","ERRADICADO","N_INTER","NIN","NINMTOBS","COD_SIT_LESION","NO_CBD","CBD","NO_APH","AF_PRIN","DIA_SIS","CLAVE_PROGRAMA_SIS","COD_COMPLEMEN_MORBI","DIA_FETAL","DEF_FETAL_CM","DEF_FETAL_CBD","CLAVE_CAPITULO","CAPITULO","LISTA1","GRUPO1","LISTA5","RUBRICA_TYPE","YEAR_MODIFI","YEAR_APLICACION","VALID","PRINMORTA","PRINMORBI","LM_MORBI","LM_MORTA","LGBD165","LOMSBECK","LGBD190","NOTDIARIA","NOTSEMANAL","SISTEMA_ESPECIAL","BIRMM","CVE_CAUSA_TYPE","CAUSA_TYPE","EPI_MORTA","EDAS_E_IRAS_EN_M5","CVE_MATERNAS-SEED-EPID","EPI_MORTA_M5","EPI_MORBI","DEF_MATERNAS","ES_CAUSES","NUM_CAUSES","ES_SUIVE_MORTA","ES_SUIVE_MORB","EPI_CLAVE","EPI_CLAVE_DESC","ES_SUIVE_NOTIN","ES_SUIVE_EST_EPI","ES_SUIVE_EST_BROTE","SINAC","PRIN_SINAC","PRIN_SINAC_GRUPO","DESCRIPCION_SINAC_GRUPO","PRIN_SINAC_SUBGRUPO","DESCRIPCION_SINAC_SUBGRUPO","DAGA","ASTERISCO","PRIN_MM","PRIN_MM_GRUPO","DESCRIPCION_MM_GRUPO","PRIN_MM_SUBGRUPO","DESCRIPCION_MM_SUBGRUPO","COD_ADI_MORT"
"157","A","A268","4","OTRAS FORMAS DE ERISIPELOIDE","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"158","A","A269","4","ERISIPELOIDE, NO ESPECIFICADA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"159","A","A27","3","LEPTOSPIROSIS","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","NO","999","999","NO","NO","NO","88","NO","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","SI","0","NO","NO","NO","SI","NO","NO","NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"160","A","A270","4","LEPTOSPIROSIS ICTEROHEMORRÁGICA","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","102","LEPTOSPIROSIS","NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"161","A","A278","4","OTRAS FORMAS DE LEPTOSPIROSIS","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","102","LEPTOSPIROSIS","NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"162","A","A279","4","LEPTOSPIROSIS, NO ESPECIFICADA","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","102","LEPTOSPIROSIS","NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"163","A","A28","3","OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","NO","999","999","NO","NO","NO","88","NO","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"164","A","A280","4","PASTEURELOSIS","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"165","A","A281","4","ENFERMEDAD POR RASGUÑO DE GATO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"166","A","A282","4","YERSINIOSIS EXTRAINTESTINAL","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"167","A","A288","4","OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"168","A","A289","4","ENFERMEDAD ZOONÓTICA BACTERIANA, SIN OTRA ESPECIFICACIÓN","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"169","A","A30","3","LEPRA [ENFERMEDAD DE HANSEN]","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","NO","009","009","NO","NO","NO","88","NO","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","SI","0","SI","62","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"170","A","A300","4","LEPRA INDETERMINADA","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","SI","009","009","03C","03C","29","88","29","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","SI","62","SI","SI","73","LEPRA","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"171","A","A301","4","LEPRA TUBERCULOIDE","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","SI","009","009","03C","03C","29","88","29","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","SI","62","SI","SI","73","LEPRA","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"172","A","A302","4","LEPRA TUBERCULOIDE LIMÍTROFE","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","SI","009","009","03C","03C","29","88","29","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","SI","62","SI","SI","73","LEPRA","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"173","A","A303","4","LEPRA LIMÍTROFE","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","SI","009","009","03C","03C","29","88","29","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","SI","62","SI","SI","73","LEPRA","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"174","A","A304","4","LEPRA LEPROMATOSA LIMÍTROFE","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","SI","009","009","03C","03C","29","88","29","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","SI","62","SI","SI","73","LEPRA","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"175","A","A305","4","LEPRA LEPROMATOSA","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","SI","009","009","03C","03C","29","88","29","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","SI","62","SI","SI","73","LEPRA","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"176","A","A308","4","OTRAS FORMAS DE LEPRA","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","SI","009","009","03C","03C","29","88","29","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","SI","62","SI","SI","73","LEPRA","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"177","A","A309","4","LEPRA, NO ESPECIFICADA","NO","NO","010A","120A","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","011","NO","NO","NO","SI","009","009","03C","03C","29","88","29","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","SI","62","SI","SI","73","LEPRA","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"178","A","A31","3","INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","NO","999","999","NO","NO","NO","88","NO","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"179","A","A310","4","INFECCIONES POR MICOBACTERIAS PULMONARES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"180","A","A311","4","INFECCIÓN CUTÁNEA POR MICOBACTERIAS","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","1","CAUSAS POCO PROBALBES DE SER CAUSA BASICA","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"181","A","A318","4","OTRAS INFECCIONES POR MICOBACTERIAS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"182","A","A319","4","INFECCIÓN POR MICOBACTERIA, NO ESPECIFICADA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"183","A","A32","3","LISTERIOSIS","NO","NO","028D","120A","NO","NO","SI","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","NO","999","999","NO","NO","NO","88","NO","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","NO","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"184","A","A320","4","LISTERIOSIS CUTÁNEA","NO","NO","028D","120A","NO","NO","SI","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"185","A","A321","4","MENINGITIS Y MENINGOENCEFALITIS LISTERIANA","NO","NO","028D","120A","NO","NO","SI","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","+","NO","NO","NO","NO","NO","NO","NO"
"186","A","A327","4","SEPSIS LISTERIANA","NO","NO","028D","120A","NO","NO","SI","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","C","2010 CORRECCION TITULOS","2014","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"187","A","A328","4","OTRAS FORMAS DE LISTERIOSIS","NO","NO","028D","120A","NO","NO","SI","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","+","NO","NO","NO","NO","NO","NO","NO"
"188","A","A329","4","LISTERIOSIS, NO ESPECIFICADA","NO","NO","028D","120A","NO","NO","SI","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","025","001","018","NO","NO","NO","SI","999","999","03Z","03Z","38","88","38","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"189","A","A33X","4","TÉTANOS NEONATAL","SI","NO","000H","027D","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","008","001","012","NO","NO","NO","SI","163H","163H","46J","46J","16","4","16","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","86","TETANOS NEONATAL","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"190","A","A34X","4","TÉTANOS OBSTÉTRICO","SI","MUJER","010A","054A","NO","NO","NO","SI","SI","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","008","001","013","NO","NO","NO","SI","157","160","43O","43O","45","4","45","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","71","NO","NO","SI","SI","85","TETANOS","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","SI","7","SEPSIS Y OTRAS INFECCIONES PUERPERALES","71","SEPSIS Y OTRAS INFECCIONES PUERPERALES","NO"
"191","A","A35X","4","OTROS TÉTANOS","SI","NO","028D","120A","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","008","001","013","NO","NO","NO","SI","014","014","03H","03H","16","4","16","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","85","TETANOS","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"192","A","A36","3","DIFTERIA","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","009","001","014","NO","NO","NO","NO","010","010","NO","NO","NO","4","NO","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","SI","0","NO","NO","NO","SI","NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"193","A","A360","4","DIFTERIA FARÍNGEA","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","009","001","014","NO","NO","NO","SI","010","010","03D","03D","14","4","14","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","82","DIFTERIA","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"194","A","A361","4","DIFTERIA NASOFARÍNGEA","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","009","001","014","NO","NO","NO","SI","010","010","03D","03D","14","4","14","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","82","DIFTERIA","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"195","A","A362","4","DIFTERIA LARÍNGEA","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","009","001","014","NO","NO","NO","SI","010","010","03D","03D","14","4","14","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","82","DIFTERIA","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"196","A","A363","4","DIFTERIA CUTÁNEA","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","009","001","014","NO","NO","NO","SI","010","010","03D","03D","14","4","14","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","82","DIFTERIA","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"197","A","A368","4","OTRAS DIFTERIAS","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","009","001","014","NO","NO","NO","SI","010","010","03D","03D","14","4","14","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","82","DIFTERIA","SI","SI","SI","NO","NO","NO","NO","NO","NO","+","NO","NO","NO","NO","NO","NO","NO"
"198","A","A369","4","DIFTERIA, NO ESPECIFICADA","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","009","001","014","NO","NO","NO","SI","010","010","03D","03D","14","4","14","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","SI","0","NO","NO","SI","SI","82","DIFTERIA","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"199","A","A37","3","TOS FERINA [TOS CONVULSIVA]","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","010","001","015","NO","NO","NO","NO","011","011","NO","NO","NO","4","NO","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","NO","NO","NO","SI","0","SI","43","NO","SI","NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"200","A","A370","4","TOS FERINA DEBIDA A BORDETELLA PERTUSSIS","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","010","001","015","NO","NO","NO","SI","011","011","03E","03E","12","4","12","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","SI","43","SI","SI","83","TOS FERINA","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"201","A","A371","4","TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS","NO","NO","NO","NO","NO","NO","NO","SI","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","010","001","015","NO","NO","NO","SI","011","011","03E","03E","12","4","12","NO","SI","SI","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","SI","NO","NO","NO","NO","0","SI","43","SI","SI","83","TOS FERINA","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
