"CONSECUTIVO","LETRA","CATALOG_KEY","NO. CARACTERES","NOMBRE","CODIGOX","LSEX","LINF","LSUP","TRIVIAL","ERRADICADO","N_INTER","NIN","NINMTOBS","COD_SIT_LESION","NO_CBD","CBD","NO_APH","AF_PRIN","DIA_SIS","CLAVE_PROGRAMA_SIS","COD_COMPLEMEN_MORBI","DIA_FETAL","DEF_FETAL_CM","DEF_FETAL_CBD","CLAVE_CAPITULO","CAPITULO","LISTA1","GRUPO1","LISTA5","RUBRICA_TYPE","YEAR_MODIFI","YEAR_APLICACION","VALID","PRINMORTA","PRINMORBI","LM_MORBI","LM_MORTA","LGBD165","LOMSBECK","LGBD190","NOTDIARIA","NOTSEMANAL","SISTEMA_ESPECIAL","BIRMM","CVE_CAUSA_TYPE","CAUSA_TYPE","EPI_MORTA","EDAS_E_IRAS_EN_M5","CVE_MATERNAS-SEED-EPID","EPI_MORTA_M5","EPI_MORBI","DEF_MATERNAS","ES_CAUSES","NUM_CAUSES","ES_SUIVE_MORTA","ES_SUIVE_MORB","EPI_CLAVE","EPI_CLAVE_DESC","ES_SUIVE_NOTIN","ES_SUIVE_EST_EPI","ES_SUIVE_EST_BROTE","SINAC","PRIN_SINAC","PRIN_SINAC_GRUPO","DESCRIPCION_SINAC_GRUPO","PRIN_SINAC_SUBGRUPO","DESCRIPCION_SINAC_SUBGRUPO","DAGA","ASTERISCO","PRIN_MM","PRIN_MM_GRUPO","DESCRIPCION_MM_GRUPO","PRIN_MM_SUBGRUPO","DESCRIPCION_MM_SUBGRUPO","COD_ADI_MORT"
"11","A","A02","3","OTRAS INFECCIONES DEBIDAS A SALMONELLA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","NO","001","001","NO","NO","NO","1","NO","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","NO","SI","0","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"12","A","A020","4","ENTERITIS DEBIDA A SALMONELLA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01E","01E","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","SI","56","SI","SI","177","OTRAS SALMONELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"13","A","A021","4","SEPSIS DEBIDA A SALMONELLA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","C","2010 CORRECCION TITULOS","2014","SI","001","001","01E","01E","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","177","OTRAS SALMONELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"14","A","A022","4","INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","C","2003 (SE ELIMINO DAGA)","2003","SI","001","001","01E","01E","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","177","OTRAS SALMONELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","+","NO","NO","NO","NO","NO","NO","NO"
"15","A","A028","4","OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01E","01E","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","177","OTRAS SALMONELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"16","A","A029","4","INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","006","NO","NO","NO","SI","001","001","01E","01E","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","177","OTRAS SALMONELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"17","A","A03","3","SHIGELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NA","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","003","NO","NO","NO","NO","001","001","NO","NO","NO","1","NO","NO","SI","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","NO","SI","0","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"18","A","A030","4","SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","003","NO","NO","NO","SI","001","001","01D","01D","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","05","SHIGELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"19","A","A031","4","SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","003","NO","NO","NO","SI","001","001","01D","01D","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","05","SHIGELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"20","A","A032","4","SHIGELOSIS DEBIDA A SHIGELLA BOYDII","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","1","NO","NO","NO","NO","I","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","004","001","003","NO","NO","NO","SI","001","001","01D","01D","10","1","10","NO","NO","NO","NO","5","CAUSAS ÚTILES PARA MORTALIDAD","NO","SI","NO","SI","SI","0","NO","NO","SI","SI","05","SHIGELOSIS","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
